version,cve_id,base_score,base_severity,cvss_version
1.26.3,CVE-2026-49975,7.5,HIGH,3.1
1.6.2,CVE-2016-0742,7.5,HIGH,3.1
1.6.2,CVE-2016-0746,9.8,CRITICAL,3.1
1.6.2,CVE-2016-0747,5.3,MEDIUM,3.1
1.6.2,CVE-2016-4450,7.5,HIGH,3.1
1.6.2,CVE-2016-1247,7.8,HIGH,3.1
1.6.2,CVE-2017-7529,7.5,HIGH,3.1
1.6.2,CVE-2018-16845,6.1,MEDIUM,3.1
1.6.2,CVE-2019-20372,5.3,MEDIUM,3.1
1.6.2,CVE-2021-23017,7.7,HIGH,3.1
1.6.2,CVE-2017-20005,9.8,CRITICAL,3.1
1.6.2,CVE-2021-3618,7.4,HIGH,3.1
1.6.2,CVE-2022-41741,7.8,HIGH,3.1
1.6.2,CVE-2022-41742,7.1,HIGH,3.1
1.6.2,CVE-2026-49975,7.5,HIGH,3.1
1.14.2,CVE-2018-16845,6.1,MEDIUM,3.1
1.14.2,CVE-2019-9511,7.5,HIGH,3.1
1.14.2,CVE-2019-9513,7.5,HIGH,3.1
1.14.2,CVE-2019-9516,6.5,MEDIUM,3.1
1.14.2,CVE-2019-20372,5.3,MEDIUM,3.1
1.14.2,CVE-2021-23017,7.7,HIGH,3.1
1.14.2,CVE-2021-3618,7.4,HIGH,3.1
1.14.2,CVE-2022-41741,7.8,HIGH,3.1
1.14.2,CVE-2022-41742,7.1,HIGH,3.1
1.14.2,CVE-2023-44487,7.5,HIGH,3.1
1.14.2,CVE-2025-23419,5.3,MEDIUM,4.0
1.14.2,CVE-2026-49975,7.5,HIGH,3.1
1.28.0,CVE-2026-49975,7.5,HIGH,3.1
1.24.0,CVE-2023-44487,7.5,HIGH,3.1
1.24.0,CVE-2025-23419,5.3,MEDIUM,4.0
1.24.0,CVE-2026-49975,7.5,HIGH,3.1
1.20.1,CVE-2021-3618,7.4,HIGH,3.1
1.20.1,CVE-2022-41741,7.8,HIGH,3.1
1.20.1,CVE-2022-41742,7.1,HIGH,3.1
1.20.1,CVE-2023-44487,7.5,HIGH,3.1
1.20.1,CVE-2025-23419,5.3,MEDIUM,4.0
1.20.1,CVE-2026-49975,7.5,HIGH,3.1
1.18.0,CVE-2021-23017,7.7,HIGH,3.1
1.18.0,CVE-2021-3618,7.4,HIGH,3.1
1.18.0,CVE-2022-41741,7.8,HIGH,3.1
1.18.0,CVE-2022-41742,7.1,HIGH,3.1
1.18.0,CVE-2023-44487,7.5,HIGH,3.1
1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
1.18.0,CVE-2026-49975,7.5,HIGH,3.1
